branch,customer,acct,decline_amount,months_gone,last_purchase,rev_2025,rev_2024,rev_2023,txn_count
Brunswick,Bores Trucking                ,3095510,8677.5,9.6,2025-05-16,7163.49,1514.01,0.0,5
Brunswick,Erie Blacktop                 ,931522,5684.84,9.6,2025-05-15,59.8,5175.8,449.23999999999984,8
Brunswick,Odot Dist #3 Ashland Co       ,3070316,2444.22,9.6,2025-05-15,245.99,0.0,2198.23,4
Brunswick,Anthony Allega Cement         ,910700,4353.75,9.7,2025-05-13,624.99,3636.35,92.41,9
Brunswick,Great Lakes Tank & Vessel     ,3082191,16465.69,9.8,2025-05-08,10625.99,5839.7,0.0,7
Brunswick,City Of University Hts        ,993098,8480.869999999999,9.8,2025-05-08,232.47,0.0,8248.4,5
Brunswick,Gateway Excavating Llc        ,954200,2553.48,9.8,2025-05-08,13.8,2539.68,0.0,7
Brunswick,Digioia-Suburban Excavating   ,928080,2132.02,9.8,2025-05-08,749.98,111.75,1270.29,10
Brunswick,"Things To Move, Llc           ",990861,4856.96,9.9,2025-05-05,1039.28,2841.71,975.97,12
Brunswick,City Of Willard               ,3042287,6466.68,10.1,2025-04-29,4252.28,1855.58,358.82,9
Brunswick,Strongsville City School      ,3003039,1297.27,10.2,2025-04-25,204.0,746.16,347.11,5
Brunswick,B V C Erosion Control         ,912009,7990.349999999999,10.3,2025-04-23,963.28,2831.02,4196.05,24
Brunswick,Scott Myers                   ,967945,6704.719999999999,10.5,2025-04-16,23.15,4949.97,1731.6,10
Brunswick,Myron Trucking Co             ,967985,4364.219999999999,10.5,2025-04-16,3605.26,758.96,0.0,9
Brunswick,Medina County Westfield Twp   ,964144,3319.94,10.8,2025-04-09,417.61,639.31,2263.02,10
Brunswick,Holiday Lakes Maintenance     ,945298,10923.000000000002,11.0,2025-04-02,10233.3,689.6999999999999,0.0,9
Brunswick,Medina Excavating Inc         ,964122,3365.92,11.0,2025-04-03,123.38,720.37,2522.17,14
Brunswick,City Of Broadview Hts         ,918012,2164.28,11.1,2025-03-31,214.69,1481.85,467.74,6
Brunswick,Kelley Steel Erectors Inc     ,950981,2180.55,11.4,2025-03-20,596.38,0.0,1584.17,6
Brunswick,Onyx Environmental            ,3097841,1397.08,11.4,2025-03-21,1397.08,0.0,0.0,3
Brunswick,Northern Ohio Equipment Srvs  ,969708,3577.59,11.8,2025-03-10,577.5,898.28,2101.81,7
Brunswick,Lorain Co Lagrange Twp        ,958904,17537.910000000003,11.9,2025-03-07,267.2,16937.65,333.06,4
Brunswick,Village Of Plymouth           ,1473870,14444.06,11.9,2025-03-05,547.61,11232.69,2663.76,9
Brunswick,T & J Enterprise Services     ,990040,2783.45,11.9,2025-03-06,33.07,2387.18,363.2,5
Brunswick,Ohio Bulk Transport           ,3045791,1933.74,11.9,2025-03-06,1167.71,766.03,0.0,3
Burlington,Ruark Digger Service          ,3055564,2260.59,6.1,2025-08-29,962.07,1298.52,0.0,3
Burlington,Koebbe Construction Llc       ,3050923,1776.92,6.2,2025-08-27,95.97,0.0,1680.95,6
Burlington,Elbert & Margie Stephenson    ,688050,1021.66,6.2,2025-08-25,652.77,334.39,34.5,11
Burlington,B P Pipeline                  ,612011,6419.87,6.4,2025-08-21,142.46,0.0,6277.41,6
Burlington,Asco Equipment                ,11727,2697.05,6.4,2025-08-20,2655.02,0.0,42.03,3
Burlington,Aurora Utilities              ,611851,1088.03,6.4,2025-08-19,142.76,945.27,0.0,4
Burlington,Shepherd Excavating           ,683731,7354.8,6.5,2025-08-18,6579.63,39.85,735.32,12
Burlington,Switzerland Co Hwy Dept       ,689870,10263.02,6.8,2025-08-07,3977.9,6195.35,89.76999999999998,27
Burlington,Mid Valley Pipeline Co        ,665112,3520.25,6.8,2025-08-07,3475.56,0.0,44.69,4
Burlington,Harmeling Equipment Service   ,641610,1339.68,6.8,2025-08-08,495.93,564.45,279.3,12
Burlington,Flaig Welding Co Inc          ,633230,1551.87,6.9,2025-08-06,1037.03,285.13,229.71,16
Burlington,Zimmer Tractor                ,699828,3739.79,7.1,2025-07-29,1708.61,2031.18,0.0,7
Burlington,Rick Schweitzer               ,682322,3371.51,7.1,2025-07-29,3012.51,359.0,0.0,5
Burlington,Cummings Towing               ,3094601,3486.38,7.2,2025-07-28,3402.3700000000003,84.00999999999999,0.0,4
Burlington,Erlanger Public Works         ,3013635,4750.6,7.5,2025-07-18,4395.3,355.29999999999995,0.0,5
Burlington,Jeremy Lewis                  ,57244,3962.33,7.5,2025-07-17,758.47,1802.19,1401.67,23
Burlington,Bobby Coghill                 ,62312,1741.45,7.5,2025-07-17,218.49,1276.2,246.76,16
Burlington,Richard Kindler               ,652160,2881.69,7.6,2025-07-16,1852.07,1029.62,0.0,7
Burlington,Randy'S Excavating            ,3056373,1604.25,7.6,2025-07-15,248.75,621.4,734.1,14
Burlington,Atomic Transport              ,3061950,14154.79,7.7,2025-07-11,4419.63,3646.76,6088.400000000001,17
Burlington,Parham Inc                    ,671440,5425.81,7.7,2025-07-11,1179.96,2912.65,1333.2,19
Burlington,R E B T Construction Llc      ,675086,3205.25,7.8,2025-07-10,437.71,826.84,1940.7,19
Burlington,Dmh Construction Inc          ,3062793,1731.58,7.8,2025-07-08,933.1,0.0,798.48,7
Burlington,Dirt Artisans                 ,3072289,1132.25,7.9,2025-07-07,408.3,171.65,552.3,8
Burlington,Mountain View Metal Center    ,3094869,1958.89,8.0,2025-07-01,1408.33,550.56,0.0,5
Burlington,Jim Marksberry & Son          ,663082,3419.68,8.2,2025-06-26,1174.91,2244.77,0.0,5
Burlington,Town Of Vevay                 ,693662,1200.61,8.2,2025-06-27,561.77,141.97,496.87,5
Burlington,Harold L Christy Jr           ,622291,1228.43,8.3,2025-06-24,249.2,577.69,401.54,9
Burlington,Roger Christman               ,3097938,1501.22,8.4,2025-06-20,1501.22,0.0,0.0,3
Burlington,Gary Blaker                   ,615850,1373.55,8.7,2025-06-12,1019.52,53.96,300.07,8
Burlington,Conrad Contracting Llc        ,3097949,2370.34,8.8,2025-06-09,2370.34,0.0,0.0,5
Burlington,S E Gray Construction         ,638863,2220.94,8.8,2025-06-09,1220.86,916.31,83.77000000000001,8
Burlington,Construction Machinery Corp   ,623938,1028.88,8.9,2025-06-04,147.04000000000002,0.0,881.84,3
Burlington,Green Thumb Gardens           ,3083076,8575.42,9.2,2025-05-28,1968.25,6607.17,0.0,3
Burlington,City Of Rising Sun            ,677685,6565.61,9.3,2025-05-23,1628.92,2878.95,2057.74,10
Burlington,Campbell/Kenton County        ,620450,2291.7200000000003,9.4,2025-05-20,976.75,1220.14,94.83,7
Burlington,Jon Willoughby                ,697477,5794.639999999999,9.6,2025-05-16,2572.69,1501.94,1720.01,13
Burlington,Frank J Hanser                ,641271,3218.01,9.6,2025-05-14,1572.79,1615.7199999999998,29.5,9
Burlington,Rising Sun Utilities          ,677672,2953.89,9.6,2025-05-14,2496.99,456.9,0.0,3
Burlington,Dmt Inc Dba Don Markesbery    ,663035,8595.9,9.7,2025-05-12,82.58,7998.47,514.85,7
Burlington,Tate Builders Supply Co       ,690241,3538.91,9.7,2025-05-12,315.01,3223.9,0.0,3
Burlington,Alex Othman                   ,3031582,1495.09,9.7,2025-05-13,1433.58,61.51,0.0,8
Burlington,Connie Currier                ,616637,1355.41,9.7,2025-05-12,475.0,279.6,600.81,5
Burlington,City Of Wilder                ,697120,5681.14,9.9,2025-05-06,1403.01,3489.25,788.88,15
Burlington,Marc Smith                    ,685686,1307.95,9.9,2025-05-05,789.08,31.87,487.0,4
Burlington,Auto Mart                     ,3061556,2216.1000000000004,10.0,2025-05-02,450.73,1765.37,0.0,5
Burlington,Schwenke Bros Farm            ,682330,2131.72,10.0,2025-05-02,497.93,297.9,1335.89,5
Burlington,Holland Roofing Indianapolis  ,645316,1283.5,10.1,2025-05-01,1024.99,0.0,258.51,5
Burlington,J & S Plumbing Brothers Inc   ,649881,1403.85,10.2,2025-04-28,47.21,1356.64,0.0,4
Burlington,Miller'S Ag Repair            ,3094074,1071.63,10.2,2025-04-28,750.05,321.58,0.0,5
Burlington,Pro Innovations Llc           ,3054455,10116.27,10.4,2025-04-21,228.42,5524.35,4363.5,13
Burlington,Gac Concrete                  ,635055,4392.28,10.8,2025-04-09,3604.61,772.37,15.3,7
Burlington,Brian Cahill                  ,3082024,3467.03,10.8,2025-04-09,1335.25,2131.78,0.0,8
Burlington,Bessler'S U Pull And Save     ,615124,4973.71,10.9,2025-04-04,3690.13,1283.58,0.0,4
Burlington,S & S Excavating Contr        ,680008,6681.650000000001,11.0,2025-04-01,-16.79000000000002,371.34,6327.1,5
Burlington,Just Right Construction And   ,3063472,3561.54,11.2,2025-03-27,436.79,787.79,2336.96,9
Burlington,Ohio Co Hwy Dept              ,670300,2594.4800000000005,11.3,2025-03-25,2233.4700000000003,10.0,351.01,5
Burlington,Higher Ground Retreat Center  ,644230,1226.93,11.3,2025-03-25,377.79,0.0,849.14,4
Burlington,St Marys Cemetery             ,680172,1341.03,11.4,2025-03-21,595.88,0.0,745.15,4
Burlington,Tully'S Backhoe Service       ,3001748,1704.23,11.5,2025-03-19,328.23,0.0,1376.0,6
Cambridge,Sterling Equipment Leasing Llc,188070,16778.85,6.1,2025-08-29,9591.81,5500.49,1686.55,10
Cambridge,Oak Hill Farm                 ,3013089,5504.539999999999,6.1,2025-08-28,831.25,4299.31,373.98,19
Cambridge,Aiden Hershberger             ,3014529,2448.31,6.1,2025-08-28,1447.37,982.64,18.3,7
Cambridge,J & S Tree Services           ,3037931,1684.25,6.1,2025-08-28,975.31,358.42,350.52,5
Cambridge,Guernsey Co Agri Society      ,39730,4139.12,6.2,2025-08-25,562.2099999999999,218.09,3358.82,18
Cambridge,Spiker Brother Farms          ,86623,5892.210000000001,6.4,2025-08-20,835.69,1267.22,3789.3,6
Cambridge,Tom Mehaffey                  ,64192,4262.530000000001,6.4,2025-08-20,3382.3300000000004,727.2,153.0,14
Cambridge,Sidwell Materials             ,84333,3084.4999999999995,6.4,2025-08-20,714.2499999999997,2370.25,0.0,7
Cambridge,Painter Poultry               ,71178,2040.67,6.4,2025-08-19,1284.9,475.02,280.75,4
Cambridge,Countryside Construction Llc  ,3010950,5614.17,6.5,2025-08-18,4009.44,0.0,1604.73,4
Cambridge,Energy Services Llc           ,31283,7458.360000000001,6.6,2025-08-15,2941.9100000000003,2104.07,2412.38,15
Cambridge,Blue Racer Midstream Llc      ,16111,1778.67,6.6,2025-08-14,531.99,0.0,1246.68,4
Cambridge,Coshocton Co Mill Creek       ,24515,8903.189999999999,6.8,2025-08-07,339.0,541.85,8022.339999999999,8
Cambridge,Zach Shuttleworth             ,3070754,1027.27,6.8,2025-08-08,373.05,0.0,654.22,5
Cambridge,Thomas Warne                  ,94835,1329.66,6.9,2025-08-05,512.9200000000001,646.74,170.0,9
Cambridge,Guernsey Co Adams Twp         ,39971,1247.78,6.9,2025-08-06,985.6,262.18,0.0,6
Cambridge,Elmer Yoder                   ,3043896,1294.78,7.0,2025-08-01,831.25,-266.96,730.49,5
Cambridge,Michael Kaylor                ,50555,4057.63,7.1,2025-07-31,4057.63,0.0,0.0,11
Cambridge,Pumpkin Valley Farms          ,3056430,2241.08,7.1,2025-07-30,1404.08,130.0,707.0,4
Cambridge,Cabot Lumber Inc              ,20014,4587.4400000000005,7.3,2025-07-25,941.6,3645.84,0.0,7
Cambridge,Scheiderer Companies          ,3011617,1972.51,7.3,2025-07-24,362.14,238.23,1372.14,12
Cambridge,Coshocton Co Jackson Twp      ,24451,2584.42,7.5,2025-07-18,493.19999999999993,578.46,1512.76,7
Cambridge,Paul Construction             ,72014,6605.17,7.6,2025-07-15,617.9200000000001,1948.84,4038.41,14
Cambridge,Lloyd'S Towing Service        ,58273,3870.39,7.6,2025-07-15,1845.18,1927.91,97.3,12
Cambridge,Cambridge Water Dept          ,20314,8764.39,7.8,2025-07-10,2382.8900000000003,1191.8,5189.7,20
Cambridge,Smith Concrete                ,1583653,10398.32,8.0,2025-07-02,1795.05,0.0,8603.27,3
Cambridge,Odnr-Blue Rock State Forest   ,199958,2622.01,8.0,2025-07-03,2177.2000000000003,319.0,125.81,8
Cambridge,J & J Services 2020 Llc       ,3061998,2066.83,8.0,2025-07-02,121.46,1173.73,771.64,8
Cambridge,Messerschmidt Construct       ,64761,7098.31,8.1,2025-06-30,2009.6,368.59,4720.12,12
Cambridge,Muskingum Co Cass Twp         ,67851,3302.82,8.1,2025-06-30,826.52,1305.42,1170.88,11
Cambridge,Res Auction Service           ,3045844,2975.42,8.1,2025-06-30,1540.55,1434.87,0.0,4
Cambridge,I2C Technologies              ,90868,7800.76,8.3,2025-06-23,6129.43,0.0,1671.33,3
Cambridge,Coshocton Co Crawford Twp     ,224460,7386.129999999999,8.4,2025-06-20,326.99,187.73,6871.41,8
Cambridge,Guernsey Co Millwood Twp      ,39772,8118.54,8.5,2025-06-17,856.45,3936.37,3325.72,21
Cambridge,Epg Insurance Inc             ,867600,27017.82,8.6,2025-06-13,0.0,0.0,27017.82,4
Cambridge,Pfieffer Equipment            ,3027568,5993.45,8.7,2025-06-11,1513.55,2347.69,2132.21,17
Cambridge,Guernsey Co Richland Twp      ,39761,9205.7,8.9,2025-06-06,3321.81,3642.86,2241.03,13
Cambridge,Muskingum Co Newton Twp       ,67811,4608.21,9.0,2025-06-02,1707.72,1623.66,1276.83,11
Cambridge,Southeastern Glass Co         ,86303,3089.3900000000003,9.0,2025-06-02,820.7,1938.86,329.83,7
Cambridge,Guernsey Co Madison Twp       ,39742,1649.08,9.0,2025-06-02,825.33,118.35,705.4,6
Cambridge,Army Corps Of Engineers Wills ,3048615,2655.34,9.3,2025-05-23,2655.34,0.0,0.0,4
Cambridge,Murphy Tractor & Equipment Co ,67682,2327.09,9.4,2025-05-21,367.04,1327.51,632.54,11
Cambridge,Coshocton Co Adams Twp        ,24462,4486.9800000000005,9.5,2025-05-19,305.31,2014.38,2167.29,12
Cambridge,Maysville Regional Water      ,463962,1153.72,9.6,2025-05-16,156.31,985.67,11.74,3
Cambridge,Hills Machinery               ,44558,1594.98,9.7,2025-05-13,323.05,0.0,1271.93,3
Cambridge,P W T Welding                 ,3071258,1210.2,9.7,2025-05-12,0.0,1210.2,0.0,3
Cambridge,Derr Farms Inc                ,3063727,3081.15,10.1,2025-04-30,106.02,2975.13,0.0,4
Cambridge,Lexco                         ,57305,2722.21,10.1,2025-04-29,99.12,205.54,2417.55,6
Cambridge,Western Guernsey Services     ,96200,1194.53,10.1,2025-04-30,950.0,244.53,0.0,4
Cambridge,Goss Supply Co Inc            ,38220,4347.21,10.2,2025-04-28,348.43,3613.87,384.91,6
Cambridge,Jerry Ables Electric Inc      ,10051,13538.62,10.3,2025-04-23,1988.61,8420.01,3130.0,9
Cambridge,Pelazza Construction Serv Inc ,3049221,1781.49,10.6,2025-04-14,1191.49,0.0,590.0,6
Cambridge,Salt Fork State Park          ,80681,11341.049999999996,10.8,2025-04-07,1019.63,438.05,9883.37,11
Cambridge,Danny Tittle                  ,3053307,1282.91,10.8,2025-04-07,588.82,0.0,694.09,3
Cambridge,Devin Alfman                  ,3067607,1501.98,11.0,2025-04-01,1099.98,323.7,78.3,6
Cambridge,Kobelco Construction Machinery,53101,1608.74,11.1,2025-03-31,1556.42,0.0,52.32,4
Cambridge,Kingsbury Companies Llc       ,3072018,3181.56,11.2,2025-03-28,1359.75,0.0,1821.81,4
Cambridge,Muskingum Co Highland         ,67842,1732.0,11.2,2025-03-27,968.55,194.09,569.36,4
Cambridge,A Plus Lawn Care & Landscaping,3037797,2106.32,11.3,2025-03-25,734.03,392.42,979.87,6
Cambridge,City Of Coshocton Waste Water ,3012516,1785.9499999999998,11.5,2025-03-17,746.1,1039.85,0.0,3
Cambridge,Kris Mccullough               ,63983,1657.37,11.5,2025-03-19,323.23,0.0,1334.14,5
Cambridge,Minors Hall Trucking & Ex     ,1665624,7265.72,11.7,2025-03-12,48.5,7190.8,26.42,7
Cambridge,Guernsey Co Jackson Twp       ,39980,3685.53,11.7,2025-03-11,716.3199999999999,725.28,2243.93,14
Cambridge,Marlin Longenecker            ,3061844,1330.63,12.0,2025-03-04,286.11,0.0,1044.52,4
Dublin,Circleville Ag                ,1522361,6222.27,6.1,2025-08-28,194.48,130.4,5897.39,5
Dublin,Stein Equipment Services      ,3043868,1176.94,6.1,2025-08-28,706.24,0.0,470.7,3
Dublin,Crates Farm & Excavating      ,424980,1396.56,6.2,2025-08-25,826.51,308.67,261.38,7
Dublin,Franklin Co Engineer          ,434220,13237.76,6.4,2025-08-21,3444.07,4861.51,4932.18,31
Dublin,City Of Reynoldsburg          ,476860,12694.4,6.4,2025-08-19,12332.0,344.70000000000005,17.7,7
Dublin,D & W Farms                   ,426099,8456.96,6.4,2025-08-20,4876.0,346.13,3234.83,7
Dublin,Robinson Excavation Inc       ,478170,5647.91,6.4,2025-08-19,2962.92,0.0,2684.99,10
Dublin,Mccoy Paving                  ,3000595,3517.85,6.4,2025-08-20,392.0799999999999,614.67,2511.1,9
Dublin,Double Z Construction         ,429003,2667.7200000000003,6.4,2025-08-20,1315.84,678.08,673.8,9
Dublin,Landscape Design Solutions Llc,3018509,32717.89,6.6,2025-08-14,15387.75,4283.04,13047.1,33
Dublin,Slemmons Excavating           ,585375,2152.43,6.6,2025-08-13,538.15,821.76,792.52,10
Dublin,Carl Gioffre Const            ,437222,2143.6800000000003,6.6,2025-08-15,1383.73,170.25,589.7,9
Dublin,Kenton Milling                ,3094780,1448.71,6.6,2025-08-14,1448.71,0.0,0.0,3
Dublin,Smith & Associates            ,485600,34650.41,6.7,2025-08-12,3130.9,14252.92,17266.59,65
Dublin,Mikes Trucking                ,3031930,4214.1,6.7,2025-08-11,529.33,1532.86,2151.91,10
Dublin,Village Of Groveport          ,439551,1147.51,6.7,2025-08-12,368.0,779.51,0.0,3
Dublin,Tolliver & Curl               ,491810,2623.6,6.8,2025-08-08,976.49,1647.11,0.0,5
Dublin,Dalton Sealing & Paving       ,426150,13384.32,6.9,2025-08-06,8352.39,1891.16,3140.77,18
Dublin,Risha Co Llc                  ,3044118,4176.64,6.9,2025-08-06,574.69,3068.59,533.36,12
Dublin,Logan Co Jefferson Township   ,2158522,3044.51,6.9,2025-08-05,2748.53,0.0,295.98,5
Dublin,Raul Hernandez                ,3101312,1551.45,6.9,2025-08-04,1551.45,0.0,0.0,8
Dublin,Yellowstone Landscape         ,438718,9231.5,7.0,2025-08-01,4652.89,0.0,4578.61,7
Dublin,Silt Fence Construction       ,3011975,28332.86,7.1,2025-07-31,3795.77,15592.5,8944.59,29
Dublin,Ciminello Landscaping         ,422369,28034.06,7.1,2025-07-31,106.56,1895.7,26031.8,33
Dublin,Charter Oaks Tree & Landscape ,421944,12626.55,7.1,2025-07-31,7071.130000000001,3746.12,1809.3,14
Dublin,Odnr Parks & Recreation       ,470150,6644.89,7.1,2025-07-31,-1.4210854715202004e-14,6122.25,522.64,8
Dublin,Hootman Excavating            ,445782,3498.9,7.1,2025-07-31,530.47,2589.85,378.58,15
Dublin,Franklin Co Franklin Twp      ,434222,2169.62,7.1,2025-07-30,1052.11,978.51,139.0,8
Dublin,Wheels Motor Sales            ,496339,1035.8,7.1,2025-07-29,365.45,670.35,0.0,6
Dublin,Kurguz Paving Co              ,453914,13493.61,7.2,2025-07-28,5591.759999999999,3845.11,4056.74,30
Dublin,C J Mahan Construction        ,462450,5515.22,7.2,2025-07-28,1324.38,0.0,4190.84,7
Dublin,Meyers Landscape Services & Nu,464954,5177.96,7.2,2025-07-28,1451.9,923.98,2802.08,14
Dublin,Delaware Co Concord Twp       ,427158,36858.82,7.3,2025-07-25,1167.71,15786.77,19904.34,34
Dublin,City Of Columbus              ,423549,14942.259999999998,7.3,2025-07-25,4282.099999999999,8560.83,2099.33,10
Dublin,Lee Foos Farms                ,433583,1365.67,7.3,2025-07-24,393.54,459.57,512.5600000000001,7
Dublin,City Of Westerville           ,496211,5123.58,7.5,2025-07-17,1025.16,2822.65,1275.77,11
Dublin,Black Bronco Construction     ,3050046,2675.14,7.5,2025-07-18,1355.54,0.0,1319.6,6
Dublin,Landfare Ltd                  ,454741,2352.19,7.5,2025-07-17,1048.6699999999998,342.38,961.14,9
Dublin,City Of Springfield           ,486762,21470.03,7.6,2025-07-14,2740.6,4226.63,14502.8,35
Dublin,Foor Concrete Company Inc     ,433582,1963.52,7.6,2025-07-16,740.4,989.27,233.85,7
Dublin,Eds Tree & Turf               ,479019,2987.0,7.7,2025-07-11,2004.01,310.8,672.1899999999999,9
Dublin,Moro Building Structural      ,466798,1184.81,7.7,2025-07-11,252.28,131.77,800.76,10
Dublin,Casey M Murphy Jr             ,467635,15714.830000000002,7.8,2025-07-10,8691.59,5932.56,1090.68,16
Dublin,Monesi Trucking & Equip Repair,466226,5317.55,7.8,2025-07-09,2625.12,1241.67,1450.76,14
Dublin,Jim Brown                     ,3094963,1324.35,7.8,2025-07-09,393.45,930.9,0.0,6
Dublin,Lane Excavating Llc           ,3002202,22152.97,8.0,2025-07-03,10035.56,2581.27,9536.14,27
Dublin,City Of Kenton                ,451420,5122.88,8.1,2025-06-30,4202.81,0.0,920.07,3
Dublin,Sunrise Cooperative           ,3000710,8376.86,8.2,2025-06-25,2312.69,0.0,6064.17,6
Dublin,Franklin Co Jefferson Twp     ,434235,7119.4400000000005,8.3,2025-06-24,467.09,0.0,6652.35,7
Dublin,Allegiant Plumbing Llc        ,3011259,3923.31,8.3,2025-06-24,1773.59,1475.82,673.9,7
